Model,Accuracy,Precision,Recall,F1,ROC_AUC
Bagging,0.9261501210653753,0.9152542372881356,0.6792452830188679,0.779783393501805,0.9730182078771934
RandomForest,0.9116222760290557,0.93,0.5849056603773585,0.7181467181467182,0.9670919257352456
XGBoost,0.9128329297820823,0.8849557522123894,0.6289308176100629,0.7352941176470589,0.9324488699046704
GradientBoosting,0.8849878934624698,0.826530612244898,0.5094339622641509,0.6303501945525292,0.8907810245820486
DecisionTree,0.887409200968523,0.7426470588235294,0.6352201257861635,0.6847457627118644,0.839537778280671
AdaBoost,0.8462469733656174,0.7424242424242424,0.3081761006289308,0.43555555555555553,0.826313258465107
